Iteration 0:
0.134009 4.522297 11.320300
-2.074832 2.602487 9.180024
2.196293 -5.000000 11.533909
-3.702096 -2.039684 10.317666
0.609098 -2.510467 8.426673
1.357117 -0.990556 5.741952
0.671206 2.984400 8.444894
1.288709 3.041768 8.746137
1.069689 0.259954 4.077251
1.268770 0.316064 5.324090
4.308098 2.209523 11.684934
-2.157066 2.385343 9.122233
-0.623624 4.318351 11.359043
3.088559 5.000000 11.486393
5.000000 0.366735 11.695905
0.267450 -2.166853 6.816161
-4.302447 -0.422983 11.319967
-4.836994 1.126398 10.968927
2.837635 1.658614 9.163316
0.539700 -0.226029 3.642648
-2.817431 4.190265 11.450253
-2.854736 -1.603539 9.219047
2.896383 3.907641 10.404286
-1.647772 2.172969 8.183020
-3.340258 -0.598955 9.832459
1.375523 0.886401 5.826653
4.077611 1.399609 10.809181
-1.352155 2.713577 9.030165
0.045143 2.307180 6.931615
-1.015633 3.147669 7.970326
1.842185 4.109720 10.206091
1.437408 -0.669600 6.241349
-0.896701 3.048836 7.559662
1.811395 -3.706196 10.504547
-1.511071 4.706341 12.246715
3.800752 3.292011 11.869544
-1.459513 1.878614 7.547234
-2.126005 2.029968 7.198714
0.940841 -4.851806 10.628419
0.125354 -4.607197 11.333442
-1.908589 4.247156 10.830456
-3.613059 0.516372 10.365801
3.401877 -1.056171 9.569939
4.116474 4.161951 12.092118
0.202412 1.398098 5.564166
3.915295 -4.139442 11.664631
-1.800052 1.952826 7.097735
3.933724 -1.496398 10.730988
3.391122 -1.475417 10.449371
0.397603 -1.247930 5.425271
Iteration 1:
1.437408 -0.669600 6.241349
3.391122 -1.475417 10.449371
-2.302735 1.673948 8.671507
0.267450 -2.166853 6.816161
-1.913167 4.046041 9.621737
-0.867443 -3.406987 9.631040
-2.126005 2.029968 7.198714
-1.827732 2.431252 8.907145
0.111591 -1.439882 5.492332
-1.647772 2.172969 8.183020
-1.941789 2.635975 8.981918
0.039131 5.000000 10.179408
0.539700 -0.226029 3.642648
0.197102 4.082833 9.682160
2.117090 -2.757639 9.002225
0.940841 -4.851806 10.628419
1.357117 -0.990556 5.741952
-0.714121 -0.834467 4.443771
-2.074832 2.602487 9.180024
1.268770 0.316064 5.324090
0.609098 -0.893233 4.549305
0.134009 4.522297 11.320300
-1.459513 1.878614 7.547234
-0.896701 3.048836 7.559662
2.196293 -2.345112 9.130845
-5.000000 0.267312 11.305248
0.481965 -0.916256 4.504633
-3.340258 -0.598955 9.832459
-1.099810 1.759716 6.259303
-1.582478 -3.339413 10.362597
-2.924384 1.388299 9.000093
0.397603 -1.247930 5.425271
4.781068 1.327465 11.931604
0.671206 2.984400 8.444894
-2.157066 2.385343 9.122233
1.069689 0.259954 4.077251
-0.698221 2.101956 6.824095
1.084321 4.161951 9.830033
0.202412 1.398098 5.564166
3.131504 -0.189432 8.195078
-4.836994 1.126398 10.968927
0.348299 5.000000 11.639561
2.837635 1.658614 9.163316
1.375523 0.886401 5.826653
4.077611 1.399609 10.809181
3.401877 -1.056171 9.569939
-1.352155 2.713577 9.030165
0.045143 2.307180 6.931615
-1.800052 1.952826 7.097735
3.933724 -1.496398 10.730988
Iteration 2:
-1.352155 2.713577 9.030165
3.131504 -0.189432 8.195078
0.134009 5.000000 10.559238
1.437408 -0.669600 6.241349
2.117090 2.291250 8.578240
-0.896701 3.048836 7.559662
-1.647772 2.172969 8.183020
-1.099810 1.759716 6.259303
2.196293 -2.345112 9.130845
-1.800052 1.952826 7.097735
-3.009219 -1.054938 7.340901
1.069689 0.259954 4.077251
-0.339346 2.591419 8.394599
-2.302735 1.673948 8.671507
0.609098 -0.893233 4.549305
-0.844289 3.246346 8.935484
-1.146878 -0.693251 5.035498
3.933724 -1.496398 10.730988
1.375523 0.886401 5.826653
0.481965 -0.916256 4.504633
0.111591 -1.439882 5.492332
-1.827732 2.431252 8.907145
-0.698221 2.101956 6.824095
1.357117 -0.990556 5.741952
0.267450 -2.166853 6.816161
0.256429 -2.245089 7.193780
-2.074832 2.602487 9.180024
0.671206 -2.332846 7.914805
-0.867443 -3.406987 9.631040
1.765015 -0.156854 5.769837
-1.459513 1.878614 7.547234
0.539700 -0.226029 3.642648
0.045143 2.307180 6.931615
-2.126005 2.029968 7.198714
1.845882 1.388299 7.385205
-2.809361 -3.466852 11.342035
1.268770 0.316064 5.324090
-3.917459 1.954315 9.456216
-0.714121 -0.121855 3.383484
2.163278 -2.205458 8.309716
-0.603920 -1.489624 6.376788
-0.797598 3.234702 9.017020
0.202412 1.398098 5.564166
-0.609421 0.357157 4.122159
-5.000000 0.267312 11.305248
-4.836994 1.126398 10.968927
2.837635 1.658614 9.163316
3.391122 -1.475417 10.449371
0.397603 -1.247930 5.425271
0.039131 1.456907 5.440261
Iteration 3:
0.111591 -1.439882 5.492332
-2.302735 1.673948 8.671507
0.671206 -2.332846 7.914805
-0.714121 -0.121855 3.383484
0.609098 -0.893233 4.549305
0.554550 -1.775282 6.668032
-1.459513 1.878614 7.547234
1.375523 0.886401 5.826653
1.069689 0.259954 4.077251
-0.844289 3.246346 8.935484
1.981981 0.565507 6.735843
1.845882 1.388299 7.385205
1.769016 2.199183 8.058632
1.945478 1.290772 6.931474
1.437408 -0.669600 6.241349
2.117090 2.291250 8.578240
0.267450 -2.166853 6.816161
-1.099810 1.759716 6.259303
1.765015 -0.156854 5.769837
-1.800052 1.952826 7.097735
1.013813 -5.000000 10.284617
2.604773 -0.350374 8.425500
3.131504 -0.189432 8.195078
0.562837 -0.693251 4.561619
0.039131 1.456907 5.440261
0.256429 -2.245089 7.193780
-3.169178 1.187554 8.781641
1.357117 -0.990556 5.741952
-1.009815 2.936560 7.215431
-1.096175 -0.910526 4.064990
-0.896701 3.048836 7.559662
0.854845 2.602487 8.231341
1.127136 -1.030801 4.288638
-1.827732 2.431252 8.907145
0.045143 2.307180 6.931615
-0.339346 2.591419 8.394599
0.202412 1.398098 5.564166
-3.021128 -1.496398 9.307084
0.528964 0.267312 3.747030
-0.698221 2.101956 6.824095
1.268770 0.316064 5.324090
-0.603920 -1.489624 6.376788
-2.183528 1.126398 6.849849
2.837635 1.658614 9.163316
-0.146143 -3.616610 9.796784
0.397603 -1.247930 5.425271
-2.126005 2.029968 7.198714
-0.609421 0.357157 4.122159
0.539700 -0.226029 3.642648
2.163278 -2.205458 8.309716
Iteration 4:
-1.089415 2.004875 5.717668
-0.339346 2.591419 8.394599
1.127136 -1.030801 4.288638
-2.370806 -0.671928 8.043114
1.945478 1.290772 6.931474
0.111591 -1.439882 5.492332
0.539700 -0.226029 3.642648
0.004498 -2.606254 7.770871
-0.146143 -0.380097 2.896802
0.908917 1.277387 5.297844
0.609098 -0.893233 4.549305
-2.183528 1.126398 6.849849
0.058310 -0.583203 3.275037
-0.714121 -0.121855 3.383484
-3.169178 1.187554 8.781641
1.442519 -0.534286 6.244122
0.202412 1.398098 5.564166
2.117090 2.291250 8.578240
1.437408 -0.669600 6.241349
2.163278 -2.205458 8.309716
0.352085 0.466388 3.849934
-1.099810 1.759716 6.259303
-1.459513 1.878614 7.547234
3.131504 -0.189432 8.195078
-0.422559 0.599120 4.259818
1.013813 -5.000000 10.284617
2.311497 1.853356 8.443491
1.069689 0.259954 4.077251
0.854845 2.602487 8.231341
1.375523 0.886401 5.826653
-1.096175 -0.910526 4.064990
1.845882 1.388299 7.385205
-0.698221 2.101956 6.824095
0.528964 0.267312 3.747030
0.045143 2.307180 6.931615
0.397603 -1.247930 5.425271
0.567168 -1.775282 6.666227
-0.763672 -0.350374 4.181712
1.765015 -0.156854 5.769837
1.268770 0.316064 5.324090
1.110268 -0.026476 3.219591
-0.951804 0.247576 3.691235
-2.041950 -0.677619 6.663959
1.357117 -0.990556 5.741952
0.267450 -2.166853 6.816161
0.039131 1.456907 5.440261
1.981981 0.565507 6.735843
-0.603920 -1.489624 6.376788
-2.126005 2.029968 7.198714
-0.609421 0.357157 4.122159
Iteration 5:
-0.146143 -0.380097 2.896802
0.397603 -1.247930 5.425271
1.981981 0.565507 6.735843
0.004498 -0.255002 1.804096
0.854845 2.602487 8.231341
1.357117 -0.990556 5.741952
1.883306 -1.488639 7.595157
1.127136 -1.030801 4.288638
