Iteration 0:
0.781934 -1.594785 6.430429
1.065740 -0.189564 3.654412
-0.124111 -1.444538 5.534126
2.177158 -1.736272 8.034098
-3.596094 -0.048681 9.624312
-3.245981 -0.420949 9.476616
0.125354 1.293343 4.831693
-2.783868 1.619022 9.264574
0.592408 1.586287 6.548385
-1.511071 1.878614 7.624760
1.747030 -0.081321 5.568340
-3.021853 0.731718 8.284166
-2.889538 0.044850 7.053825
-0.617481 -0.512203 4.443818
-2.425979 -1.433305 8.886534
-1.314420 -0.001862 4.756937
-1.330815 3.959772 10.367830
-2.780524 1.776227 8.981778
-0.721806 2.942778 8.226504
-0.619316 0.829980 4.560567
-1.128426 0.425743 4.950289
1.656991 -1.686885 7.777302
-2.787726 -1.962291 8.540422
-0.719690 -0.433956 4.383795
0.601203 2.227793 7.569957
0.529126 3.105688 9.001972
3.586763 -0.604401 10.322270
-0.518890 2.566219 8.521960
0.029275 -0.634609 3.263285
-2.817431 0.769543 8.179787
2.385343 0.759569 7.973474
0.245850 2.857655 8.001632
0.155609 0.931071 3.135798
1.008049 0.124799 3.046908
0.347527 1.600291 6.352060
0.186928 -1.282909 4.974133
-0.145507 0.172244 1.630192
2.604198 -2.160630 9.446804
0.803425 1.669473 6.403001
3.257838 4.109720 11.756821
1.691375 0.316064 6.355422
0.963487 1.433414 6.022020
0.992604 1.266024 5.220957
0.425381 2.364551 8.019136
1.065746 3.199541 8.457023
-1.800524 0.397603 6.525560
-0.749457 0.027534 3.097210
2.977628 2.172969 8.773031
1.363889 3.292011 10.003069
-0.128018 -1.075618 3.352439
Iteration 1:
-1.800524 0.397603 6.525560
-1.800524 0.397603 6.525560
-2.325908 0.898877 7.472972
-0.408022 0.077044 2.834882
0.102216 -0.515134 3.242660
0.240554 1.404505 5.686717
0.232327 1.489128 5.915623
0.613889 -0.837762 4.559345
1.198711 0.081947 4.033254
-1.066828 0.572169 4.858128
-0.680914 0.683553 4.607585
-0.347437 -1.302006 5.549586
-1.891615 -1.414208 7.437189
0.327387 2.390564 7.962485
2.805850 1.115297 7.942200
-0.554288 -0.209423 3.617762
-2.280637 -0.341768 7.592139
0.125354 1.180757 4.053079
-1.800524 0.510189 6.659199
-0.672483 0.383158 4.245914
-0.471043 0.508424 4.214442
-1.478645 -1.372303 7.251993
-0.368690 -0.715784 4.230512
-0.479018 -0.793790 4.478146
1.000629 0.315081 4.124404
0.941645 1.207259 4.790961
-1.535004 0.907169 6.244037
-3.568352 -1.401815 10.666618
1.057714 0.761379 4.430669
-0.593699 2.886743 8.571604
-2.815468 -0.609157 8.581030
1.461634 1.500126 7.472286
-1.261254 0.444960 5.561847
1.575264 -1.286578 7.145837
