Iteration 0:
3.401877 -1.056171 9.569939
2.830992 2.984400 9.441339
4.116474 -3.024486 10.628990
-1.647772 2.682296 9.301294
-2.222253 0.539700 7.572933
-0.226029 1.288709 5.141122
-1.352155 0.134009 5.180579
4.522297 4.161951 13.539668
1.357117 2.172969 7.872983
-3.583974 1.069689 9.912704
-4.836994 -2.571132 12.675213
-3.627684 3.041768 11.334208
-3.433209 -0.990556 9.608779
-3.702096 -3.911912 12.061423
4.989245 -2.817431 11.801249
0.129324 3.391122 9.384431
1.126398 -2.039684 6.028118
1.375523 0.242872 5.586038
-0.064170 4.727750 10.993126
-2.074832 2.713577 8.986513
0.267450 2.699138 8.280867
-0.997714 3.915295 8.887098
-2.166853 -1.475417 8.130647
3.077245 4.190265 11.261060
-4.302447 4.493271 13.904637
0.259954 -4.139442 10.258676
-3.077862 1.632269 9.388816
3.902326 -1.511071 10.737793
-4.358287 -4.799770 13.871383
-0.422983 -4.369042 11.510430
-2.617200 4.706341 12.776652
4.022081 3.509198 12.320830
-2.333343 0.397603 7.885800
-1.247930 2.602487 8.746225
0.125354 1.677238 5.810828
0.316064 -4.607197 11.756580
-0.623624 4.318351 11.359043
4.308098 2.209523 11.684934
-2.157066 2.385343 9.122233
1.399788 -1.459513 7.281450
1.878614 -3.340258 9.988900
-0.598955 3.800752 10.332425
3.292011 -1.696629 10.127886
-2.710318 3.933724 11.144601
-1.496398 1.866699 7.611559
4.564683 0.886401 11.434541
1.573040 3.586763 10.807473
-0.604401 4.239698 11.108873
-1.015633 3.147669 7.970326
1.842185 4.109720 10.206091
Iteration 1:
-3.062485 -0.493040 8.857376
1.503453 2.417366 8.953607
-5.000000 2.768101 12.060443
3.158144 1.559976 9.739915
0.934335 0.831408 3.941201
-0.484354 -1.411789 6.126673
1.533622 -0.540918 6.449171
-1.010823 1.393808 5.928695
-3.090888 0.699512 8.639348
-3.217208 1.150324 8.897120
3.433924 -1.831016 10.375900
2.046766 -1.140176 6.140485
-0.941437 -0.032084 2.610445
-5.000000 0.836195 10.819815
1.433226 -0.639238 6.239239
-0.154422 0.343111 2.748239
-2.241382 -1.525580 8.460780
0.877924 0.688448 4.450545
-1.169420 4.543411 11.629760
-1.837683 0.546645 6.663140
1.222649 1.060077 5.075560
-1.584855 -1.454486 7.561810
-1.515924 -0.936486 6.209402
-0.549749 -1.430962 6.221522
0.882220 2.305632 7.393168
-0.070902 1.720807 5.608387
1.703369 -0.731285 6.514214
1.212261 1.815050 6.658017
0.509205 5.000000 11.892073
0.124127 3.297090 8.942474
-1.605970 -0.383484 6.417898
0.194231 2.097780 6.084949
0.932935 0.673872 4.468586
-1.975654 -1.391793 7.396945
0.526920 -0.881023 4.539483
-1.572989 -0.870710 6.307664
-1.941319 0.121180 5.238527
-3.334629 0.166249 9.247752
1.172709 0.447829 5.184886
0.884353 0.473741 4.476430
