Iteration 0:
0.879100 -0.192260 3.392243
1.551152 -1.080959 6.447606
2.394953 -0.106986 7.472891
-0.599997 -0.009408 3.246283
0.124445 -0.568460 3.393163
-0.726775 0.456431 4.429558
2.267004 -2.115447 8.440069
2.054688 0.598966 6.874970
-3.117051 0.934051 7.805170
-0.659948 -0.756938 4.584489
-0.398542 2.662573 8.535786
0.979323 0.893490 3.707217
0.179382 -3.124283 8.102697
3.030286 1.699149 9.085472
1.719763 -1.614773 7.766712
0.865135 0.919370 3.832533
-1.070993 0.598450 4.859299
-0.509448 0.788640 4.520478
0.169541 0.896425 3.242800
1.047271 0.669705 4.675864
-0.370005 -2.663301 8.496626
1.175046 2.075626 6.487436
3.361339 0.501857 9.910867
1.021425 2.328137 7.461764
3.689396 2.289090 11.159603
0.088489 -0.484100 3.133108
-0.432519 -1.078055 4.762624
-0.721221 3.284743 9.467819
2.499457 0.747280 8.287525
0.407738 0.005109 2.754168
-0.571245 -0.100430 3.339241
3.931837 -0.215816 9.505294
0.246513 -0.615559 3.812888
-0.363050 -0.506103 3.966673
0.947467 0.719488 4.356403
1.279485 -0.595176 5.733241
0.718706 -0.252073 3.859481
-0.155433 -2.266692 6.958789
-0.687386 1.146652 5.046634
1.106770 0.342651 4.617080
-0.606439 0.707861 4.595659
3.344992 4.035724 11.959080
2.269997 1.277459 8.019043
0.713909 1.417388 6.160062
-0.578166 -0.751410 4.581593
-0.836674 1.024087 4.005660
3.317961 1.532551 10.292311
0.296434 2.610627 8.335388
0.453639 2.838194 8.592547
0.117266 0.254573 2.068009
Iteration 1:
-0.647731 -1.808872 6.588995
0.518367 0.442834 4.175493
3.302802 2.424563 10.969357
-1.264801 -0.638670 5.658026
1.471398 0.408215 6.200629
2.227553 0.687723 7.448870
-0.071910 -1.262200 4.483543
-3.167785 0.787382 8.675012
1.078344 2.916906 7.438431
-2.219055 -0.109416 6.489887
-1.878364 1.066865 5.718403
1.686777 -0.109292 5.757551
1.242348 0.636052 5.562990
-2.346806 0.451867 7.987902
-1.514680 -1.404132 7.381688
-2.311831 -4.960316 12.151139
0.565836 -2.509528 8.433754
-2.238809 1.041611 6.934420
1.457457 1.986747 7.586696
0.351548 5.000000 11.650030
-3.057964 -0.449514 8.808079
1.238174 -3.541459 10.312667
-2.778716 -1.874489 8.712409
1.089487 0.550803 4.940007
3.491079 0.273270 9.965225
-0.024346 -0.119866 0.700622
0.088973 0.126446 0.981965
-4.158888 -2.367896 11.617926
2.433890 1.942124 8.832266
-2.236011 -1.110274 7.132432
3.500676 -0.882270 9.837479
1.417516 -0.873398 5.995112
1.998839 2.562788 9.048865
-0.861118 2.179683 6.652671
-3.801271 3.282995 11.831598
-4.005022 1.931864 9.456435
1.765854 4.209177 11.037466
-0.604361 5.000000 11.798269
2.978504 0.524757 8.676807
1.663450 0.842340 6.338527
0.006172 1.119934 3.274631
2.227257 -1.901608 7.886580
2.293669 1.981128 8.255362
-0.353641 -0.189183 2.931166
-1.490430 0.026623 5.525818
-0.091428 -1.110677 3.400875
-0.053437 -3.336841 9.005839
-0.919118 -0.552410 4.568228
-0.239810 0.740316 3.800949
-2.092693 0.319991 6.665729
Iteration 2:
-0.320771 2.137865 6.871575
-0.019719 -0.233685 1.642073
2.646894 -0.277396 8.312579
-1.479671 -0.623049 6.354885
-3.592116 0.486291 10.340153
0.213529 -0.728298 3.707074
-0.613339 0.729773 4.597890
-1.539463 -5.000000 12.159298
-4.716979 -1.477441 12.227098
-0.543114 -0.034125 3.192924
2.758401 2.605574 10.331399
-3.928873 -2.126731 9.858846
-2.695636 -1.327154 8.971832
-2.169634 0.342138 7.089676
-1.536838 -2.827547 9.254094
0.742933 0.289895 3.987405
