Iteration 0:
1.882522 -2.549025 32.173480
1.369366 -1.098891 21.768196
2.304459 -2.308813 37.608318
2.473576 -2.193747 37.332221
1.107046 -1.941313 7.844306
-0.803463 -2.510267 33.629857
1.110917 -1.414017 24.141141
1.740630 -1.754073 26.439074
2.315667 -0.289394 31.905955
3.579458 -0.808889 38.629978
1.413939 -2.571695 46.188543
1.155332 -1.898920 11.287030
2.498581 -2.752096 43.684824
3.575529 1.619813 51.600855
1.136850 -3.192517 21.425321
1.212991 0.870636 13.050379
-1.214888 0.339648 24.742612
1.194999 1.074884 10.282592
1.123275 0.692801 18.111524
1.138779 -1.384048 24.240650
0.260111 -3.526550 43.000284
1.298926 0.408003 33.254974
0.013405 -2.242351 14.583320
-0.070245 -1.607576 21.348840
3.965149 -0.328436 30.800262
1.292059 -2.198824 25.955875
4.238400 0.501110 47.486670
2.742589 -1.662194 35.991566
1.855761 -1.948606 11.591003
-0.702369 -2.616574 37.723386
2.335186 -1.330098 37.145630
3.794216 -0.636418 38.604597
2.280250 -2.069213 22.301170
0.998457 -1.688747 17.603570
1.486321 3.437309 53.221511
2.705757 0.094772 21.795478
1.973604 -1.361112 22.312854
2.398609 -2.750415 41.330559
-1.025960 -1.594686 22.010228
1.488291 -0.101860 24.177402
-0.690896 -1.991811 18.086709
1.549436 -1.824032 30.763668
1.105594 -1.114964 7.084224
0.494626 1.197200 28.415266
0.244023 0.534123 29.740393
0.865758 -0.011574 4.127338
2.397353 -2.698485 44.200960
1.041846 0.482864 21.604363
1.712229 -3.294650 38.906246
3.829951 1.639486 38.940692
Iteration 1:
0.542205 -1.740134 33.591983
1.321255 0.987188 17.081664
0.964945 -1.224315 11.064821
0.986239 1.781994 12.188806
1.657773 -0.543849 38.142749
5.120000 0.060261 29.636625
-1.025562 -1.744385 14.576070
2.667762 1.732089 36.180332
2.081292 1.119025 9.528855
0.170335 -0.271894 16.675187
0.148131 0.089290 5.590375
1.847860 0.716672 20.238492
2.644625 -0.005110 23.146885
3.946946 0.055608 16.736158
1.733070 0.248252 24.017016
3.614980 -2.341046 51.464146
5.120000 -1.913648 34.022885
0.207567 -2.223245 20.678061
0.200401 -5.120000 35.898700
-0.709010 -1.890915 18.883722
0.301174 -0.459241 33.135708
0.465074 -5.120000 48.901193
-1.816530 -0.948689 10.655483
4.438475 1.757838 51.559824
5.120000 -2.285054 46.330944
2.186887 1.310041 26.319941
1.293232 1.433330 35.545330
-1.212169 -2.566181 34.847801
1.434067 0.746842 31.966800
0.544830 -2.121878 27.196732
0.821895 -1.374210 25.234632
-0.456846 -3.873406 37.846754
0.649212 -3.925951 32.815387
0.961763 -4.964265 26.107148
4.156384 2.388042 45.055709
-1.413794 -0.089102 22.101980
0.754827 -0.830709 16.100064
1.918073 -0.972131 6.072863
-1.239962 -1.348961 28.551849
2.739639 -3.279512 40.755056
0.925735 0.142074 5.672956
-1.147210 -0.449241 24.994874
1.285245 -0.279371 25.761369
1.475882 0.216653 30.030629
2.782578 -0.981089 16.743139
-2.211370 -2.173652 22.596255
1.845233 0.104281 9.853686
-1.315298 -3.865905 34.008233
0.986353 2.460254 26.752277
0.782396 -0.885353 11.858786
Iteration 2:
-0.950826 0.608290 19.520766
-1.643361 -0.680848 33.583799
0.538778 0.134486 23.375699
-1.480830 -0.316175 36.259512
0.239866 -0.513396 29.649421
1.015391 -0.448739 20.764900
-0.765540 -0.242138 19.176048
0.734123 1.088529 14.227305
-1.517966 -0.949844 23.635250
-2.264425 0.949816 17.427879
-2.130410 0.228188 16.397863
1.312929 0.832846 21.295699
-0.174949 -2.660851 27.881029
0.187920 2.363432 28.357607
-2.164934 -0.161330 14.331471
-0.581417 -0.604292 37.351780
2.091015 0.271959 17.412706
